segment_id,date_local,uptime,ped_lft,ped_rgt,ped_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000004118,2022-08-18 17:00,0.779444,4,0,4,98,103,200,114,96,210,0,0,0,39.0,6.1,10.37,32.32,32.32,13.41,1.22,0.0,4.27
9000004118,2022-08-18 18:00,0.768333,5,3,8,95,70,165,117,96,213,0,0,0,36.5,10.37,15.85,36.59,25.0,7.93,2.44,0.61,1.22
9000004118,2022-08-18 19:00,0.779167,3,3,5,99,87,186,136,105,241,0,0,0,39.0,9.04,18.09,30.85,24.47,10.64,2.13,1.6,3.19
9000004118,2022-08-18 20:00,0.080278,0,0,0,62,62,125,125,87,212,0,0,0,31.0,5.88,11.76,58.82,11.76,11.76,0.0,0.0,0.0
9000004118,2022-08-19 06:00,0.468056,2,0,2,15,9,24,34,24,58,0,0,0,35.5,0.0,14.81,55.56,18.52,7.41,3.7,0.0,0.0
9000004118,2022-08-19 08:00,0.631944,11,3,14,82,74,157,76,81,157,0,0,0,39.5,2.02,15.15,34.34,31.31,7.07,5.05,3.03,2.02
9000004118,2022-08-19 09:00,0.663056,3,6,9,83,59,142,78,74,152,0,0,0,36.5,1.98,14.85,44.55,25.74,4.95,4.95,0.99,1.98
9000004118,2022-08-19 10:00,0.655278,9,5,14,55,67,122,101,76,177,0,0,0,30.5,4.31,31.03,43.1,16.38,2.59,1.72,0.0,0.86
9000004118,2022-08-19 11:00,0.641389,12,14,27,62,55,117,75,81,156,0,0,0,34.0,9.0,20.0,37.0,27.0,1.0,1.0,3.0,2.0
9000004118,2022-08-19 12:00,0.629167,13,5,17,68,68,137,116,94,210,0,0,0,39.5,3.03,20.45,35.61,24.24,6.06,3.79,3.03,3.79
9000004118,2022-08-19 13:00,0.630833,10,10,19,73,70,143,127,95,222,0,0,0,40.0,3.57,18.57,37.86,20.0,12.86,3.57,1.43,2.14
