segment_id,date_local,uptime,pedestrian_lft,pedestrian_rgt,pedestrian_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000006244,2023-12-22 15:00,0.035,0,0,0,0,0,0,0,29,29,86,29,114,51.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
9000006244,2023-12-23 07:00,0.249722,0,0,0,0,0,0,4,0,4,12,4,16,26.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9000006244,2023-12-23 08:00,0.999167,0,0,0,0,1,1,10,52,62,1,3,4,35.0,0.0,17.74,33.87,43.55,4.84,0.0,0.0,0.0
9000006244,2023-12-23 09:00,0.999722,2,3,5,1,0,1,13,50,63,0,8,8,36.5,4.76,14.29,34.92,33.33,11.11,1.59,0.0,0.0
9000006244,2023-12-23 10:00,0.999167,1,0,1,1,4,5,50,113,163,1,6,7,31.5,2.45,11.04,56.44,25.15,4.91,0.0,0.0,0.0
9000006244,2023-12-23 11:00,0.999722,0,0,0,0,1,1,48,174,222,42,19,61,31.0,2.25,17.12,52.25,25.23,2.25,0.9,0.0,0.0
9000006244,2023-12-23 12:00,0.999167,0,0,0,1,3,4,46,178,224,50,36,86,30.5,2.68,20.54,54.91,18.75,3.12,0.0,0.0,0.0
9000006244,2023-12-23 13:00,0.999444,0,5,5,1,5,6,53,199,252,48,35,83,31.0,0.79,14.29,59.92,23.02,1.98,0.0,0.0,0.0
9000006244,2023-12-23 14:00,0.999722,4,8,12,0,2,2,50,165,215,96,38,134,31.5,0.47,15.35,58.14,20.93,4.19,0.93,0.0,0.0
9000006244,2023-12-23 15:00,0.999722,1,3,4,0,3,3,60,173,233,89,26,115,32.0,0.86,12.45,53.65,29.61,3.0,0.43,0.0,0.0
9000006244,2023-12-24 08:00,0.999444,0,0,0,1,2,3,27,28,55,6,2,8,32.5,5.45,5.45,43.64,40.0,5.45,0.0,0.0,0.0
9000006244,2023-12-24 09:00,0.999444,2,1,3,1,1,2,58,71,129,3,0,3,33.0,0.0,3.1,52.71,37.21,6.2,0.78,0.0,0.0
9000006244,2023-12-24 10:00,0.999722,2,1,3,1,0,1,97,116,213,0,5,5,32.0,0.94,8.45,48.83,38.97,2.82,0.0,0.0,0.0
9000006244,2023-12-24 11:00,0.999722,0,0,0,0,2,2,149,111,260,3,2,5,32.0,0.38,6.92,52.69,35.0,4.62,0.38,0.0,0.0
9000006244,2023-12-24 12:00,0.999722,2,0,2,1,0,1,177,137,314,2,4,6,34.0,0.0,5.1,46.5,42.99,5.41,0.0,0.0,0.0
9000006244,2023-12-24 13:00,0.999167,3,2,5,1,3,4,178,163,341,2,1,3,31.5,0.59,6.16,56.6,33.72,2.93,0.0,0.0,0.0
9000006244,2023-12-24 14:00,0.999167,7,1,8,1,0,1,254,249,503,0,1,1,30.5,0.8,9.94,60.83,27.83,0.4,0.2,0.0,0.0
9000006244,2023-12-24 15:00,0.749722,1,1,3,3,3,5,279,160,439,1,0,1,31.0,3.04,6.99,55.93,32.52,1.52,0.0,0.0,0.0
9000006244,2023-12-25 08:00,0.999444,0,1,1,0,3,3,26,29,55,0,2,2,32.0,0.0,23.64,34.55,38.18,3.64,0.0,0.0,0.0
9000006244,2023-12-25 09:00,1.00028,2,5,7,1,0,1,43,46,89,1,0,1,36.0,1.12,8.99,49.44,28.09,8.99,3.37,0.0,0.0
9000006244,2023-12-25 10:00,0.999444,4,0,4,0,2,2,108,126,234,2,1,3,32.0,0.43,9.4,53.42,31.62,5.13,0.0,0.0,0.0
9000006244,2023-12-25 11:00,0.999722,5,6,11,5,8,13,192,205,397,2,1,3,31.5,1.01,9.32,47.61,39.29,2.77,0.0,0.0,0.0
9000006244,2023-12-25 12:00,0.999444,2,1,3,1,4,5,219,201,420,0,6,6,31.0,0.95,8.1,57.86,31.43,1.67,0.0,0.0,0.0
9000006244,2023-12-25 13:00,0.999444,10,5,15,2,7,9,177,155,332,5,2,7,32.5,0.3,3.92,55.72,35.84,4.22,0.0,0.0,0.0
9000006244,2023-12-25 14:00,0.999444,10,9,19,12,5,17,157,178,335,1,3,4,31.0,0.6,8.96,60.0,28.96,1.49,0.0,0.0,0.0
9000006244,2023-12-25 15:00,0.999722,5,12,17,1,9,10,169,141,310,3,1,4,30.5,0.32,7.74,62.9,25.81,3.23,0.0,0.0,0.0
9000006244,2023-12-26 08:00,0.999722,4,0,4,0,1,1,33,37,70,1,2,3,34.5,0.0,4.29,54.29,34.29,7.14,0.0,0.0,0.0
9000006244,2023-12-26 09:00,0.999167,2,6,8,1,1,2,57,66,123,0,0,0,35.0,0.0,4.88,43.9,43.9,7.32,0.0,0.0,0.0
9000006244,2023-12-26 10:00,0.999444,2,1,3,4,8,12,122,117,239,0,2,2,36.5,0.0,3.35,30.96,54.39,10.46,0.84,0.0,0.0
9000006244,2023-12-26 11:00,0.999722,4,6,10,0,11,11,194,210,404,1,3,4,36.5,0.25,3.47,33.42,51.49,10.64,0.5,0.25,0.0
9000006244,2023-12-26 12:00,0.999444,9,2,11,3,5,8,237,189,426,3,2,5,36.0,0.47,4.93,27.0,57.98,9.39,0.23,0.0,0.0
9000006244,2023-12-26 13:00,0.999167,9,4,13,1,8,9,207,177,384,0,0,0,35.5,0.52,9.9,27.08,54.69,7.29,0.52,0.0,0.0
9000006244,2023-12-26 14:00,0.999444,9,4,13,1,7,8,214,187,401,0,5,5,36.0,0.5,7.73,28.93,54.36,7.73,0.5,0.0,0.25
9000006244,2023-12-26 15:00,0.999444,7,6,13,0,5,5,185,137,322,1,2,3,35.5,0.0,11.18,31.06,50.31,6.52,0.62,0.31,0.0
9000006244,2023-12-27 07:00,0.25,0,0,0,0,0,0,88,68,156,0,8,8,29.0,23.08,20.51,38.46,15.38,2.56,0.0,0.0,0.0
9000006244,2023-12-27 08:00,0.999167,2,1,3,1,5,6,73,88,161,3,3,6,34.5,0.62,4.35,48.45,40.99,4.35,0.62,0.62,0.0
